,Precio,Fecha
13,total_with_platform_fee:3299,2024-10-13T10:10:00-03:
13,average_with_platform_fee:3299,2024-10-13T10:10:00-03:
14,total:2899,2024-10-13T10:15:00-03:
14,original:2899,2024-10-13T10:15:00-03:
14,average:2899,2024-10-13T10:15:00-03:
14,total_with_platform_fee:3199,2024-10-13T10:15:00-03:
14,average_with_platform_fee:3199,2024-10-13T10:15:00-03:
15,total:2899,2024-10-13T10:40:00-03:
15,original:2899,2024-10-13T10:40:00-03:
15,average:2899,2024-10-13T10:40:00-03:
15,total_with_platform_fee:3199,2024-10-13T10:40:00-03:
15,average_with_platform_fee:3199,2024-10-13T10:40:00-03:
16,total:2899,2024-10-13T10:45:00-03:
16,original:2899,2024-10-13T10:45:00-03:
16,average:2899,2024-10-13T10:45:00-03:
16,total_with_platform_fee:3199,2024-10-13T10:45:00-03:
16,average_with_platform_fee:3199,2024-10-13T10:45:00-03:
17,total:2899,2024-10-13T11:10:00-03:
17,original:2899,2024-10-13T11:10:00-03:
17,average:2899,2024-10-13T11:10:00-03:
17,total_with_platform_fee:3199,2024-10-13T11:10:00-03:
17,average_with_platform_fee:3199,2024-10-13T11:10:00-03:
18,total:2899,2024-10-13T11:15:00-03:
18,original:2899,2024-10-13T11:15:00-03:
18,average:2899,2024-10-13T11:15:00-03:
18,total_with_platform_fee:3199,2024-10-13T11:15:00-03:
18,average_with_platform_fee:3199,2024-10-13T11:15:00-03:
19,total:2899,2024-10-13T11:40:00-03:
19,original:2899,2024-10-13T11:40:00-03:
19,average:2899,2024-10-13T11:40:00-03:
19,total_with_platform_fee:3199,2024-10-13T11:40:00-03:
19,average_with_platform_fee:3199,2024-10-13T11:40:00-03:
20,total:2899,2024-10-13T11:45:00-03:
20,original:2899,2024-10-13T11:45:00-03:
20,average:2899,2024-10-13T11:45:00-03:
20,total_with_platform_fee:3199,2024-10-13T11:45:00-03:
20,average_with_platform_fee:3199,2024-10-13T11:45:00-03:
21,total:2899,2024-10-13T12:10:00-03:
21,original:2899,2024-10-13T12:10:00-03:
21,average:2899,2024-10-13T12:10:00-03:
21,total_with_platform_fee:3199,2024-10-13T12:10:00-03:
21,average_with_platform_fee:3199,2024-10-13T12:10:00-03:
22,total:2899,2024-10-13T12:15:00-03:
22,original:2899,2024-10-13T12:15:00-03:
22,average:2899,2024-10-13T12:15:00-03:
22,total_with_platform_fee:3199,2024-10-13T12:15:00-03:
22,average_with_platform_fee:3199,2024-10-13T12:15:00-03:
23,total:2899,2024-10-13T12:40:00-03:
23,original:2899,2024-10-13T12:40:00-03:
23,average:2899,2024-10-13T12:40:00-03:
23,total_with_platform_fee:3199,2024-10-13T12:40:00-03:
23,average_with_platform_fee:3199,2024-10-13T12:40:00-03:
24,total:2899,2024-10-13T12:45:00-03:
24,original:2899,2024-10-13T12:45:00-03:
24,average:2899,2024-10-13T12:45:00-03:
24,total_with_platform_fee:3199,2024-10-13T12:45:00-03:
24,average_with_platform_fee:3199,2024-10-13T12:45:00-03:
25,total:2899,2024-10-13T13:10:00-03:
25,original:2899,2024-10-13T13:10:00-03:
25,average:2899,2024-10-13T13:10:00-03:
25,total_with_platform_fee:3199,2024-10-13T13:10:00-03:
25,average_with_platform_fee:3199,2024-10-13T13:10:00-03:
26,total:2899,2024-10-13T13:15:00-03:
26,original:2899,2024-10-13T13:15:00-03:
26,average:2899,2024-10-13T13:15:00-03:
26,total_with_platform_fee:3199,2024-10-13T13:15:00-03:
26,average_with_platform_fee:3199,2024-10-13T13:15:00-03:
27,total:2899,2024-10-13T13:40:00-03:
27,original:2899,2024-10-13T13:40:00-03:
27,average:2899,2024-10-13T13:40:00-03:
27,total_with_platform_fee:3199,2024-10-13T13:40:00-03:
27,average_with_platform_fee:3199,2024-10-13T13:40:00-03:
28,total:2999,2024-10-13T13:45:00-03:
28,original:2999,2024-10-13T13:45:00-03:
28,average:2999,2024-10-13T13:45:00-03:
28,total_with_platform_fee:3299,2024-10-13T13:45:00-03:
28,average_with_platform_fee:3299,2024-10-13T13:45:00-03:
29,total:2999,2024-10-13T14:10:00-03:
29,original:2999,2024-10-13T14:10:00-03:
29,average:2999,2024-10-13T14:10:00-03:
29,total_with_platform_fee:3299,2024-10-13T14:10:00-03:
29,average_with_platform_fee:3299,2024-10-13T14:10:00-03:
30,total:2999,2024-10-13T14:15:00-03:
30,original:2999,2024-10-13T14:15:00-03:
30,average:2999,2024-10-13T14:15:00-03:
30,total_with_platform_fee:3299,2024-10-13T14:15:00-03:
30,average_with_platform_fee:3299,2024-10-13T14:15:00-03:
31,total:2999,2024-10-13T14:40:00-03:
31,original:2999,2024-10-13T14:40:00-03:
31,average:2999,2024-10-13T14:40:00-03:
31,total_with_platform_fee:3299,2024-10-13T14:40:00-03:
31,average_with_platform_fee:3299,2024-10-13T14:40:00-03:
32,total:2999,2024-10-13T14:45:00-03:
32,original:2999,2024-10-13T14:45:00-03:
32,average:2999,2024-10-13T14:45:00-03:
32,total_with_platform_fee:3299,2024-10-13T14:45:00-03:
32,average_with_platform_fee:3299,2024-10-13T14:45:00-03:
33,total:2999,2024-10-13T15:10:00-03:
33,original:2999,2024-10-13T15:10:00-03:
33,average:2999,2024-10-13T15:10:00-03:
33,total_with_platform_fee:3299,2024-10-13T15:10:00-03:
33,average_with_platform_fee:3299,2024-10-13T15:10:00-03:
34,total:2999,2024-10-13T15:15:00-03:
34,original:2999,2024-10-13T15:15:00-03:
34,average:2999,2024-10-13T15:15:00-03:
34,total_with_platform_fee:3299,2024-10-13T15:15:00-03:
34,average_with_platform_fee:3299,2024-10-13T15:15:00-03:
35,total:2999,2024-10-13T15:40:00-03:
35,original:2999,2024-10-13T15:40:00-03:
35,average:2999,2024-10-13T15:40:00-03:
35,total_with_platform_fee:3299,2024-10-13T15:40:00-03:
35,average_with_platform_fee:3299,2024-10-13T15:40:00-03:
36,total:2999,2024-10-13T15:45:00-03:
36,original:2999,2024-10-13T15:45:00-03:
36,average:2999,2024-10-13T15:45:00-03:
36,total_with_platform_fee:3299,2024-10-13T15:45:00-03:
36,average_with_platform_fee:3299,2024-10-13T15:45:00-03:
37,total:2999,2024-10-13T16:10:00-03:
37,original:2999,2024-10-13T16:10:00-03:
37,average:2999,2024-10-13T16:10:00-03:
37,total_with_platform_fee:3299,2024-10-13T16:10:00-03:
37,average_with_platform_fee:3299,2024-10-13T16:10:00-03:
38,total:2999,2024-10-13T16:15:00-03:
38,original:2999,2024-10-13T16:15:00-03:
38,average:2999,2024-10-13T16:15:00-03:
38,total_with_platform_fee:3299,2024-10-13T16:15:00-03:
38,average_with_platform_fee:3299,2024-10-13T16:15:00-03:
39,total:2999,2024-10-13T16:40:00-03:
39,original:2999,2024-10-13T16:40:00-03:
39,average:2999,2024-10-13T16:40:00-03:
39,total_with_platform_fee:3299,2024-10-13T16:40:00-03:
39,average_with_platform_fee:3299,2024-10-13T16:40:00-03:
40,total:2999,2024-10-13T16:45:00-03:
40,original:2999,2024-10-13T16:45:00-03:
40,average:2999,2024-10-13T16:45:00-03:
40,total_with_platform_fee:3299,2024-10-13T16:45:00-03:
40,average_with_platform_fee:3299,2024-10-13T16:45:00-03:
41,total:2999,2024-10-13T16:55:00-03:
41,original:2999,2024-10-13T16:55:00-03:
41,average:2999,2024-10-13T16:55:00-03:
41,total_with_platform_fee:3299,2024-10-13T16:55:00-03:
41,average_with_platform_fee:3299,2024-10-13T16:55:00-03:
42,total:2999,2024-10-13T17:10:00-03:
42,original:2999,2024-10-13T17:10:00-03:
42,average:2999,2024-10-13T17:10:00-03:
42,total_with_platform_fee:3299,2024-10-13T17:10:00-03:
42,average_with_platform_fee:3299,2024-10-13T17:10:00-03:
43,total:2999,2024-10-13T17:15:00-03:
43,original:2999,2024-10-13T17:15:00-03:
43,average:2999,2024-10-13T17:15:00-03:
43,total_with_platform_fee:3299,2024-10-13T17:15:00-03:
43,average_with_platform_fee:3299,2024-10-13T17:15:00-03:
44,total:2999,2024-10-13T17:40:00-03:
44,original:2999,2024-10-13T17:40:00-03:
44,average:2999,2024-10-13T17:40:00-03:
44,total_with_platform_fee:3299,2024-10-13T17:40:00-03:
44,average_with_platform_fee:3299,2024-10-13T17:40:00-03:
45,total:2999,2024-10-13T17:45:00-03:
45,original:2999,2024-10-13T17:45:00-03:
45,average:2999,2024-10-13T17:45:00-03:
45,total_with_platform_fee:3299,2024-10-13T17:45:00-03:
45,average_with_platform_fee:3299,2024-10-13T17:45:00-03:
46,total:2999,2024-10-13T18:10:00-03:
46,original:2999,2024-10-13T18:10:00-03:
46,average:2999,2024-10-13T18:10:00-03:
46,total_with_platform_fee:3299,2024-10-13T18:10:00-03:
46,average_with_platform_fee:3299,2024-10-13T18:10:00-03:
47,total:2999,2024-10-13T18:15:00-03:
47,original:2999,2024-10-13T18:15:00-03:
47,average:2999,2024-10-13T18:15:00-03:
47,total_with_platform_fee:3299,2024-10-13T18:15:00-03:
47,average_with_platform_fee:3299,2024-10-13T18:15:00-03:
48,total:2999,2024-10-13T18:40:00-03:
48,original:2999,2024-10-13T18:40:00-03:
48,average:2999,2024-10-13T18:40:00-03:
48,total_with_platform_fee:3299,2024-10-13T18:40:00-03:
48,average_with_platform_fee:3299,2024-10-13T18:40:00-03:
49,total:2999,2024-10-13T18:45:00-03:
49,original:2999,2024-10-13T18:45:00-03:
49,average:2999,2024-10-13T18:45:00-03:
49,total_with_platform_fee:3299,2024-10-13T18:45:00-03:
49,average_with_platform_fee:3299,2024-10-13T18:45:00-03:
50,total:2999,2024-10-13T19:10:00-03:
50,original:2999,2024-10-13T19:10:00-03:
50,average:2999,2024-10-13T19:10:00-03:
50,total_with_platform_fee:3299,2024-10-13T19:10:00-03:
50,average_with_platform_fee:3299,2024-10-13T19:10:00-03:
51,total:2999,2024-10-13T19:15:00-03:
51,original:2999,2024-10-13T19:15:00-03:
51,average:2999,2024-10-13T19:15:00-03:
51,total_with_platform_fee:3299,2024-10-13T19:15:00-03:
51,average_with_platform_fee:3299,2024-10-13T19:15:00-03:
52,total:2999,2024-10-13T19:40:00-03:
52,original:2999,2024-10-13T19:40:00-03:
52,average:2999,2024-10-13T19:40:00-03:
52,total_with_platform_fee:3299,2024-10-13T19:40:00-03:
52,average_with_platform_fee:3299,2024-10-13T19:40:00-03:
53,total:2899,2024-10-13T19:45:00-03:
53,original:2899,2024-10-13T19:45:00-03:
53,average:2899,2024-10-13T19:45:00-03:
53,total_with_platform_fee:3199,2024-10-13T19:45:00-03:
53,average_with_platform_fee:3199,2024-10-13T19:45:00-03:
54,total:2899,2024-10-13T20:10:00-03:
54,original:2899,2024-10-13T20:10:00-03:
54,average:2899,2024-10-13T20:10:00-03:
54,total_with_platform_fee:3199,2024-10-13T20:10:00-03:
54,average_with_platform_fee:3199,2024-10-13T20:10:00-03:
55,total:2799,2024-10-13T20:15:00-03:
55,original:2799,2024-10-13T20:15:00-03:
55,average:2799,2024-10-13T20:15:00-03:
55,total_with_platform_fee:3099,2024-10-13T20:15:00-03:
55,average_with_platform_fee:3099,2024-10-13T20:15:00-03:
56,total:2799,2024-10-13T20:40:00-03:
56,original:2799,2024-10-13T20:40:00-03:
56,average:2799,2024-10-13T20:40:00-03:
56,total_with_platform_fee:3099,2024-10-13T20:40:00-03:
56,average_with_platform_fee:3099,2024-10-13T20:40:00-03:
57,total:2799,2024-10-13T20:45:00-03:
57,original:2799,2024-10-13T20:45:00-03:
57,average:2799,2024-10-13T20:45:00-03:
57,total_with_platform_fee:3099,2024-10-13T20:45:00-03:
57,average_with_platform_fee:3099,2024-10-13T20:45:00-03:
58,total:2799,2024-10-13T21:10:00-03:
58,original:2799,2024-10-13T21:10:00-03:
58,average:2799,2024-10-13T21:10:00-03:
58,total_with_platform_fee:3099,2024-10-13T21:10:00-03:
58,average_with_platform_fee:3099,2024-10-13T21:10:00-03:
59,total:2999,2024-10-13T21:15:00-03:
59,original:2999,2024-10-13T21:15:00-03:
59,average:2999,2024-10-13T21:15:00-03:
59,total_with_platform_fee:3299,2024-10-13T21:15:00-03:
59,average_with_platform_fee:3299,2024-10-13T21:15:00-03:
60,total:2999,2024-10-13T21:40:00-03:
60,original:2999,2024-10-13T21:40:00-03:
60,average:2999,2024-10-13T21:40:00-03:
60,total_with_platform_fee:3299,2024-10-13T21:40:00-03:
60,average_with_platform_fee:3299,2024-10-13T21:40:00-03:
61,total:2799,2024-10-13T21:45:00-03:
61,original:2799,2024-10-13T21:45:00-03:
61,average:2799,2024-10-13T21:45:00-03:
61,total_with_platform_fee:3099,2024-10-13T21:45:00-03:
61,average_with_platform_fee:3099,2024-10-13T21:45:00-03:
62,total:2799,2024-10-13T22:10:00-03:
62,original:2799,2024-10-13T22:10:00-03:
62,average:2799,2024-10-13T22:10:00-03:
62,total_with_platform_fee:3099,2024-10-13T22:10:00-03:
62,average_with_platform_fee:3099,2024-10-13T22:10:00-03:
63,total:2799,2024-10-13T22:15:00-03:
63,original:2799,2024-10-13T22:15:00-03:
63,average:2799,2024-10-13T22:15:00-03:
63,total_with_platform_fee:3099,2024-10-13T22:15:00-03:
63,average_with_platform_fee:3099,2024-10-13T22:15:00-03:
