,Precio,Fecha
11,total_with_platform_fee:2799,2024-10-08T09:40:00-03:
11,average_with_platform_fee:2799,2024-10-08T09:40:00-03:
12,total:1999,2024-10-08T09:45:00-03:
12,original:1999,2024-10-08T09:45:00-03:
12,average:1999,2024-10-08T09:45:00-03:
12,total_with_platform_fee:2299,2024-10-08T09:45:00-03:
12,average_with_platform_fee:2299,2024-10-08T09:45:00-03:
13,total:1999,2024-10-08T10:10:00-03:
13,original:1999,2024-10-08T10:10:00-03:
13,average:1999,2024-10-08T10:10:00-03:
13,total_with_platform_fee:2299,2024-10-08T10:10:00-03:
13,average_with_platform_fee:2299,2024-10-08T10:10:00-03:
14,total:1999,2024-10-08T10:15:00-03:
14,original:1999,2024-10-08T10:15:00-03:
14,average:1999,2024-10-08T10:15:00-03:
14,total_with_platform_fee:2299,2024-10-08T10:15:00-03:
14,average_with_platform_fee:2299,2024-10-08T10:15:00-03:
15,total:1999,2024-10-08T10:40:00-03:
15,original:1999,2024-10-08T10:40:00-03:
15,average:1999,2024-10-08T10:40:00-03:
15,total_with_platform_fee:2299,2024-10-08T10:40:00-03:
15,average_with_platform_fee:2299,2024-10-08T10:40:00-03:
16,total:1999,2024-10-08T10:45:00-03:
16,original:1999,2024-10-08T10:45:00-03:
16,average:1999,2024-10-08T10:45:00-03:
16,total_with_platform_fee:2299,2024-10-08T10:45:00-03:
16,average_with_platform_fee:2299,2024-10-08T10:45:00-03:
17,total:1999,2024-10-08T11:10:00-03:
17,original:1999,2024-10-08T11:10:00-03:
17,average:1999,2024-10-08T11:10:00-03:
17,total_with_platform_fee:2299,2024-10-08T11:10:00-03:
17,average_with_platform_fee:2299,2024-10-08T11:10:00-03:
18,total:2499,2024-10-08T11:15:00-03:
18,original:2499,2024-10-08T11:15:00-03:
18,average:2499,2024-10-08T11:15:00-03:
18,total_with_platform_fee:2799,2024-10-08T11:15:00-03:
18,average_with_platform_fee:2799,2024-10-08T11:15:00-03:
19,total:2499,2024-10-08T11:40:00-03:
19,original:2499,2024-10-08T11:40:00-03:
19,average:2499,2024-10-08T11:40:00-03:
19,total_with_platform_fee:2799,2024-10-08T11:40:00-03:
19,average_with_platform_fee:2799,2024-10-08T11:40:00-03:
20,total:1999,2024-10-08T12:15:00-03:
20,original:1999,2024-10-08T12:15:00-03:
20,average:1999,2024-10-08T12:15:00-03:
20,total_with_platform_fee:2299,2024-10-08T12:15:00-03:
20,average_with_platform_fee:2299,2024-10-08T12:15:00-03:
21,total:1999,2024-10-08T12:40:00-03:
21,original:1999,2024-10-08T12:40:00-03:
21,average:1999,2024-10-08T12:40:00-03:
21,total_with_platform_fee:2299,2024-10-08T12:40:00-03:
21,average_with_platform_fee:2299,2024-10-08T12:40:00-03:
22,total:1999,2024-10-08T12:45:00-03:
22,original:1999,2024-10-08T12:45:00-03:
22,average:1999,2024-10-08T12:45:00-03:
22,total_with_platform_fee:2299,2024-10-08T12:45:00-03:
22,average_with_platform_fee:2299,2024-10-08T12:45:00-03:
23,total:1999,2024-10-08T13:10:00-03:
23,original:1999,2024-10-08T13:10:00-03:
23,average:1999,2024-10-08T13:10:00-03:
23,total_with_platform_fee:2299,2024-10-08T13:10:00-03:
23,average_with_platform_fee:2299,2024-10-08T13:10:00-03:
24,total:1999,2024-10-08T13:45:00-03:
24,original:1999,2024-10-08T13:45:00-03:
24,average:1999,2024-10-08T13:45:00-03:
24,total_with_platform_fee:2299,2024-10-08T13:45:00-03:
24,average_with_platform_fee:2299,2024-10-08T13:45:00-03:
25,total:1999,2024-10-08T14:10:00-03:
25,original:1999,2024-10-08T14:10:00-03:
25,average:1999,2024-10-08T14:10:00-03:
25,total_with_platform_fee:2299,2024-10-08T14:10:00-03:
25,average_with_platform_fee:2299,2024-10-08T14:10:00-03:
26,total:1999,2024-10-08T14:15:00-03:
26,original:1999,2024-10-08T14:15:00-03:
26,average:1999,2024-10-08T14:15:00-03:
26,total_with_platform_fee:2299,2024-10-08T14:15:00-03:
26,average_with_platform_fee:2299,2024-10-08T14:15:00-03:
27,total:1999,2024-10-08T14:40:00-03:
27,original:1999,2024-10-08T14:40:00-03:
27,average:1999,2024-10-08T14:40:00-03:
27,total_with_platform_fee:2299,2024-10-08T14:40:00-03:
27,average_with_platform_fee:2299,2024-10-08T14:40:00-03:
28,total:2499,2024-10-08T15:15:00-03:
28,original:2499,2024-10-08T15:15:00-03:
28,average:2499,2024-10-08T15:15:00-03:
28,total_with_platform_fee:2799,2024-10-08T15:15:00-03:
28,average_with_platform_fee:2799,2024-10-08T15:15:00-03:
29,total:2499,2024-10-08T15:40:00-03:
29,original:2499,2024-10-08T15:40:00-03:
29,average:2499,2024-10-08T15:40:00-03:
29,total_with_platform_fee:2799,2024-10-08T15:40:00-03:
29,average_with_platform_fee:2799,2024-10-08T15:40:00-03:
30,total:1999,2024-10-08T16:15:00-03:
30,original:1999,2024-10-08T16:15:00-03:
30,average:1999,2024-10-08T16:15:00-03:
30,total_with_platform_fee:2299,2024-10-08T16:15:00-03:
30,average_with_platform_fee:2299,2024-10-08T16:15:00-03:
31,total:1999,2024-10-08T16:40:00-03:
31,original:1999,2024-10-08T16:40:00-03:
31,average:1999,2024-10-08T16:40:00-03:
31,total_with_platform_fee:2299,2024-10-08T16:40:00-03:
31,average_with_platform_fee:2299,2024-10-08T16:40:00-03:
32,total:1999,2024-10-08T16:45:00-03:
32,original:1999,2024-10-08T16:45:00-03:
32,average:1999,2024-10-08T16:45:00-03:
32,total_with_platform_fee:2299,2024-10-08T16:45:00-03:
32,average_with_platform_fee:2299,2024-10-08T16:45:00-03:
33,total:1999,2024-10-08T17:10:00-03:
33,original:1999,2024-10-08T17:10:00-03:
33,average:1999,2024-10-08T17:10:00-03:
33,total_with_platform_fee:2299,2024-10-08T17:10:00-03:
33,average_with_platform_fee:2299,2024-10-08T17:10:00-03:
34,total:1999,2024-10-08T17:15:00-03:
34,original:1999,2024-10-08T17:15:00-03:
34,average:1999,2024-10-08T17:15:00-03:
34,total_with_platform_fee:2299,2024-10-08T17:15:00-03:
34,average_with_platform_fee:2299,2024-10-08T17:15:00-03:
35,total:1999,2024-10-08T17:40:00-03:
35,original:1999,2024-10-08T17:40:00-03:
35,average:1999,2024-10-08T17:40:00-03:
35,total_with_platform_fee:2299,2024-10-08T17:40:00-03:
35,average_with_platform_fee:2299,2024-10-08T17:40:00-03:
36,total:2499,2024-10-08T17:45:00-03:
36,original:2499,2024-10-08T17:45:00-03:
36,average:2499,2024-10-08T17:45:00-03:
36,total_with_platform_fee:2799,2024-10-08T17:45:00-03:
36,average_with_platform_fee:2799,2024-10-08T17:45:00-03:
37,total:2499,2024-10-08T18:10:00-03:
37,original:2499,2024-10-08T18:10:00-03:
37,average:2499,2024-10-08T18:10:00-03:
37,total_with_platform_fee:2799,2024-10-08T18:10:00-03:
37,average_with_platform_fee:2799,2024-10-08T18:10:00-03:
38,total:2499,2024-10-08T18:15:00-03:
38,original:2499,2024-10-08T18:15:00-03:
38,average:2499,2024-10-08T18:15:00-03:
38,total_with_platform_fee:2799,2024-10-08T18:15:00-03:
38,average_with_platform_fee:2799,2024-10-08T18:15:00-03:
39,total:2499,2024-10-08T18:40:00-03:
39,original:2499,2024-10-08T18:40:00-03:
39,average:2499,2024-10-08T18:40:00-03:
39,total_with_platform_fee:2799,2024-10-08T18:40:00-03:
39,average_with_platform_fee:2799,2024-10-08T18:40:00-03:
40,total:2499,2024-10-08T18:45:00-03:
40,original:2499,2024-10-08T18:45:00-03:
40,average:2499,2024-10-08T18:45:00-03:
40,total_with_platform_fee:2799,2024-10-08T18:45:00-03:
40,average_with_platform_fee:2799,2024-10-08T18:45:00-03:
41,total:2499,2024-10-08T19:10:00-03:
41,original:2499,2024-10-08T19:10:00-03:
41,average:2499,2024-10-08T19:10:00-03:
41,total_with_platform_fee:2799,2024-10-08T19:10:00-03:
41,average_with_platform_fee:2799,2024-10-08T19:10:00-03:
42,total:1999,2024-10-08T19:15:00-03:
42,original:1999,2024-10-08T19:15:00-03:
42,average:1999,2024-10-08T19:15:00-03:
42,total_with_platform_fee:2299,2024-10-08T19:15:00-03:
42,average_with_platform_fee:2299,2024-10-08T19:15:00-03:
43,total:1999,2024-10-08T19:40:00-03:
43,original:1999,2024-10-08T19:40:00-03:
43,average:1999,2024-10-08T19:40:00-03:
43,total_with_platform_fee:2299,2024-10-08T19:40:00-03:
43,average_with_platform_fee:2299,2024-10-08T19:40:00-03:
44,total:1999,2024-10-08T19:45:00-03:
44,original:1999,2024-10-08T19:45:00-03:
44,average:1999,2024-10-08T19:45:00-03:
44,total_with_platform_fee:2299,2024-10-08T19:45:00-03:
44,average_with_platform_fee:2299,2024-10-08T19:45:00-03:
45,total:1999,2024-10-08T20:10:00-03:
45,original:1999,2024-10-08T20:10:00-03:
45,average:1999,2024-10-08T20:10:00-03:
45,total_with_platform_fee:2299,2024-10-08T20:10:00-03:
45,average_with_platform_fee:2299,2024-10-08T20:10:00-03:
46,total:1999,2024-10-08T20:15:00-03:
46,original:1999,2024-10-08T20:15:00-03:
46,average:1999,2024-10-08T20:15:00-03:
46,total_with_platform_fee:2299,2024-10-08T20:15:00-03:
46,average_with_platform_fee:2299,2024-10-08T20:15:00-03:
47,total:1999,2024-10-08T20:40:00-03:
47,original:1999,2024-10-08T20:40:00-03:
47,average:1999,2024-10-08T20:40:00-03:
47,total_with_platform_fee:2299,2024-10-08T20:40:00-03:
47,average_with_platform_fee:2299,2024-10-08T20:40:00-03:
48,total:1999,2024-10-08T20:45:00-03:
48,original:1999,2024-10-08T20:45:00-03:
48,average:1999,2024-10-08T20:45:00-03:
48,total_with_platform_fee:2299,2024-10-08T20:45:00-03:
48,average_with_platform_fee:2299,2024-10-08T20:45:00-03:
49,total:1999,2024-10-08T21:10:00-03:
49,original:1999,2024-10-08T21:10:00-03:
49,average:1999,2024-10-08T21:10:00-03:
49,total_with_platform_fee:2299,2024-10-08T21:10:00-03:
49,average_with_platform_fee:2299,2024-10-08T21:10:00-03:
50,total:1999,2024-10-08T21:15:00-03:
50,original:1999,2024-10-08T21:15:00-03:
50,average:1999,2024-10-08T21:15:00-03:
50,total_with_platform_fee:2299,2024-10-08T21:15:00-03:
50,average_with_platform_fee:2299,2024-10-08T21:15:00-03:
51,total:1999,2024-10-08T21:40:00-03:
51,original:1999,2024-10-08T21:40:00-03:
51,average:1999,2024-10-08T21:40:00-03:
51,total_with_platform_fee:2299,2024-10-08T21:40:00-03:
51,average_with_platform_fee:2299,2024-10-08T21:40:00-03:
52,total:1999,2024-10-08T21:45:00-03:
52,original:1999,2024-10-08T21:45:00-03:
52,average:1999,2024-10-08T21:45:00-03:
52,total_with_platform_fee:2299,2024-10-08T21:45:00-03:
52,average_with_platform_fee:2299,2024-10-08T21:45:00-03:
53,total:1999,2024-10-08T22:10:00-03:
53,original:1999,2024-10-08T22:10:00-03:
53,average:1999,2024-10-08T22:10:00-03:
53,total_with_platform_fee:2299,2024-10-08T22:10:00-03:
53,average_with_platform_fee:2299,2024-10-08T22:10:00-03:
54,total:1999,2024-10-08T22:15:00-03:
54,original:1999,2024-10-08T22:15:00-03:
54,average:1999,2024-10-08T22:15:00-03:
54,total_with_platform_fee:2299,2024-10-08T22:15:00-03:
54,average_with_platform_fee:2299,2024-10-08T22:15:00-03:
